spotify_track_id,title,artist,album,release_date,popularity,duration_ms,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,sentiment_score,genres
1Hq9DR1s1DZIlpNZMEFA0v,UYUNI,Rels B,afroLOVA 25',2025-06-20,64,157837,111,68,72,49,27,0,14,30,-8 dB,0.2194323312395658,
0XRJc66Gcvq8F98KE1TXD8,Mis Días A Tu Suerte,Rels B,afroLOVA 25',2025-06-20,70,143750,96,72,79,68,37,0,15,24,-5 dB,0.0,
1cMU20gleQO9xYjCeni3DJ,Carita Angelikal,Rels B,afroLOVA 25',2025-06-20,72,175200,100,76,80,43,18,0,13,17,-5 dB,0.1399548972068831,
6EUfOXUQtIAHKkBBOqMS2w,LA PROPUESTA,Rels B,afroLOVA 25',2025-06-20,62,157714,140,63,82,93,40,0,5,6,-4 dB,-0.0150100288446992,
6uiQ0DqbXTBc8tl0AUKZkR,TU VAS SIN (fav),Rels B,afroLOVA 25',2025-06-20,89,110495,101,57,88,28,7,0,22,13,-6 dB,0.1957552018688946,
2h3ygPh1i3y3mpbbRTbg2F,De Dónde Es????,Rels B,afroLOVA 25',2025-06-20,58,135384,117,75,83,53,1,0,11,18,-5 dB,0.0,
1LdiNJ9Q5730K4LgcAoDAo,LovioLOVIO,Rels B,afroLOVA 25',2025-06-20,57,160000,111,56,85,61,27,0,12,5,-4 dB,0.1018378123020132,
4iXCSUkCTdCdNBgGmGm9nU,vuelve contigo,Rels B,afroLOVA 25',2025-06-20,59,171645,79,37,78,88,95,0,13,11,-6 dB,-0.2616914876482703,
6QdwUxKYnMsTGaHP0kuq7T,"que todo siga igual,,, o que vaya mejor",Rels B,afroLOVA 25',2025-06-20,69,176000,107,62,81,15,15,0,11,11,-5 dB,0.1684541783549568,
44xDy4h27s4ENaC8fKnCoC,Cuando No Era Cantante,El Bogueto,No Hay Loco Que No Corone,2024-09-26,91,211084,166,80,74,76,23,0,6,5,-6 dB,-0.0030423335376239,
77NNZQSqzLNqh2A9JhLRkg,Don't Stop Believin',Journey,The Essential Journey,2001-10-16,77,248906,119,80,49,47,25,0,39,4,-7 dB,0.0920363595852485,
7LVHVU3tWfcxj5aiPFEW4Q,Fix You,Coldplay,X&Y,2005-06-07,86,295533,138,42,21,12,16,0,11,3,-9 dB,0.1603932899457437,
75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,A Rush of Blood to the Head,2002-08-27,89,309600,146,44,56,21,73,0,11,2,-7 dB,-0.0548704707851776,
1kDYCn9VIDmOIbLZ2Xc7OO,Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction (Explicit Version),1987-07-21,0,356400,125,95,45,62,9,8,11,5,-5 dB,0.1403315232155171,
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,2008-06-06,88,242373,138,62,49,42,10,0,11,3,-7 dB,0.138867512345314,
3tSmXSxaAnU1EPGKa6NytH,In the End,Linkin Park,Hybrid Theory,2000-10-24,67,216800,105,86,56,40,1,0,21,6,-6 dB,0.0769992970758014,
4hy4fb5D1KL50b3sng9cjw,Smells Like Teen Spirit,Nirvana,Nirvana (International Version),2002-01-01,2,300826,117,91,50,72,0,0,11,6,-5 dB,0.0190517473585751,
2pDPnlF496mf3EBwrTCHN2,Paradise City,Guns N' Roses,Appetite For Destruction (Explicit Version),1987-07-21,0,406306,100,98,27,39,2,1,18,10,-6 dB,0.0643716266789993,
1jJci4qxiYcOHhQR247rEU,Kids,MGMT,Oracular Spectacular,2007-12-14,83,302840,123,93,45,17,0,0,36,7,-4 dB,0.194968126141108,
0BCPKOYdS2jbQ8iyB56Zns,Clocks,Coldplay,A Rush of Blood to the Head,2002-08-27,86,307879,131,75,58,26,60,1,18,3,-7 dB,-0.0579876497839436,
2hdhm6piUJnmKXmEmskXCg,Save Tonight,Eagle-Eye Cherry,Desireless,1997-01-01,1,242733,120,69,55,58,0,0,11,4,-9 dB,0.1363302579238301,
5s5t0OFg9lIlBFaCI14K1i,She Will Be Loved,Maroon 5,Songs About Jane,2002-06-25,1,257133,102,71,71,54,6,0,13,3,-6 dB,0.1356306464544364,
5GZEeowhvSieFDiR8fQ2im,9 Crimes,Damien Rice,9,2006-11-06,61,217946,74,17,33,10,91,0,9,3,-13 dB,-0.1940785475233767,
7Dbg5O9nNWu6SWxDjJ9qoq,In The Air Tonight,Phil Collins,Face Value,1981-01-01,2,333120,92,69,41,62,10,0,26,3,-4 dB,0.4116474408091921,
6gxycjJNMgmAyfzUXBN80P,Goodbye My Lover,James Blunt,Back to Bedlam,2005-08-08,70,258653,90,26,43,27,95,0,9,5,-13 dB,0.3001756196220715,
6vrUTGn5p8IrfTZ0J6sIVM,Iris,The Goo Goo Dolls,Greatest Hits Volume One - The Singles,2007-11-06,74,289906,156,72,32,50,0,0,9,4,-8 dB,0.1471986230462789,
6pqawkYEUzzuKve6QNfBaT,Sultans Of Swing,Dire Straits,Sultans Of Swing - The Very Best Of Dire Straits,1998-11-10,0,346600,148,80,73,93,7,3,34,3,-10 dB,0.1462881643521158,
36i9HyLz4ziVtELURFg6jf,My Immortal,Evanescence,Fallen,2003-03-31,0,262800,79,27,19,10,86,0,13,4,-9 dB,0.0840096816872105,
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,Nickelback,Silver Side Up,2001-09-11,86,223840,172,76,45,54,0,0,10,3,-5 dB,0.1359825447201728,
6SpLc7EXZIPpy0sVko0aoU,Misery Business,Paramore,Riot!,2007-06-12,77,211520,173,91,52,73,0,0,11,7,-4 dB,-0.033775507491462,
11X4Gw3T4hoktVruLgTnm1,Heartbeats,José González,Veneer,2003-07-02,0,160240,88,18,59,31,98,71,10,3,-15 dB,0.1197582812923373,
2JS1iE5A5RHvUPH5Zl9jlF,Run to the Hills - 1998 Remastered Version,Iron Maiden,The Number Of The Beast (1998 Remastered Edition),1982,3,233960,174,94,25,46,3,0,16,7,-5 dB,0.2521076148582829,
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,Parachutes,2000-07-10,92,266773,173,66,43,28,0,0,23,3,-7 dB,0.2664553635829204,
0oWHLtxWeMJhmwxtrxhNK0,Welcome To The Jungle,Guns N' Roses,Appetite For Destruction (Explicit Version),1987-07-21,1,273600,124,99,45,32,2,28,27,9,-4 dB,0.2339706650147071,
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,Demon Days,2005-05-23,90,222640,139,71,82,77,1,0,61,18,-7 dB,0.0786995001814582,
6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),Green Day,Nimrod,1997-10-14,80,153466,95,43,48,65,18,0,16,3,-8 dB,0.1309880940687088,
0G5F2msfVO77xs7ql2RiTS,Beautiful Day,U2,U218 Singles (Deluxe Version),2006-01-01,0,245706,136,93,54,45,1,0,36,5,-6 dB,0.1220196806034951,
0kO3njY9N1Rxgv27Ha1lLh,Numb,Linkin Park,Meteora (Bonus Edition),2003-03-25,58,187520,110,87,49,21,0,0,48,4,-4 dB,-0.1771970570087432,
0vg4WnUWvze6pBOJDTq99k,You're Beautiful,James Blunt,Back to Bedlam,2005-08-08,77,209493,82,48,68,45,63,0,9,3,-10 dB,0.0371730669781013,
3ZsjgLDSvusBgxGWrTAVto,The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",2007-09-25,0,269373,173,96,43,37,0,0,3,4,-4 dB,-0.0929222940467298,
3b7fBk9K03QWUg6F3w1G12,Det snurrar i min skalle,Familjen,Det snurrar i min skalle,2007-03-28,0,254466,130,80,64,93,0,3,6,5,-5 dB,0.0,
7C3fJ1q01IQ137IQTRwmVZ,Under The Bridge,Red Hot Chili Peppers,What Hits!?,1992-09-29,0,267560,85,35,56,46,6,0,14,5,-13 dB,0.2367428335789087,
53968oKecrFxkErocab2Al,November Rain,Guns N' Roses,Use Your Illusion I,1991-09-17,3,537506,127,95,44,51,1,0,32,9,-3 dB,-0.0197050717839023,
7kzKAuUzOITUauHAhoMoxA,Last Nite,The Strokes,Is This It,2001-07-30,74,193506,104,90,62,79,2,0,10,3,-6 dB,-0.1384838906855418,
4CeT4xcG9c345vvUhldXOc,Alias,In Flames,A Sense of Purpose,2008-04-04,0,289240,170,93,43,36,2,0,20,6,-4 dB,0.0373107304698542,
2QoAsBYPMO1rbgtRgXIS62,I Don't Want To Miss A Thing,Aerosmith,"O, Yeah! Ultimate Aerosmith Hits",2002,0,298053,121,66,38,14,17,0,25,3,-5 dB,0.2892773209937981,
7w4Tbkbx081vRJa8ol56Qf,Walk Of Life,Dire Straits,Sultans Of Swing - The Very Best Of Dire Straits,1998-11-10,0,249333,172,94,46,81,42,0,14,10,-7 dB,0.2662453602912814,
